Grand Prix,Date,Winner First Name,Winner Last Name,Winner Short Name,Car,Team,Laps,Time,Winner,Year
United States,21 Oct 2018,Kimi,Raikkonen,RAI,Ferrari,Ferrari,56,1:34:18.643,Kimi Raikkonen,2018
Mexico,28 Oct 2018,Max,Verstappen,VER,Red Bull Racing TAG Heuer,Red Bull Racing,71,1:38:28.851,Max Verstappen,2018
Brazil,11 Nov 2018,Lewis,Hamilton,HAM,Mercedes,Mercedes,71,1:27:09.066,Lewis Hamilton,2018
Abu Dhabi,25 Nov 2018,Lewis,Hamilton,HAM,Mercedes,Mercedes,55,1:39:40.382,Lewis Hamilton,2018
Australia,17 Mar 2019,Valtteri,Bottas,BOT,Mercedes,Mercedes,58,1:25:27.325,Valtteri Bottas,2019
Bahrain,31 Mar 2019,Lewis,Hamilton,HAM,Mercedes,Mercedes,57,1:34:21.295,Lewis Hamilton,2019
China,14 Apr 2019,Lewis,Hamilton,HAM,Mercedes,Mercedes,56,1:32:06.350,Lewis Hamilton,2019
Azerbaijan,28 Apr 2019,Valtteri,Bottas,BOT,Mercedes,Mercedes,51,1:31:52.942,Valtteri Bottas,2019
Spain,12 May 2019,Lewis,Hamilton,HAM,Mercedes,Mercedes,66,1:35:50.443,Lewis Hamilton,2019
Monaco,26 May 2019,Lewis,Hamilton,HAM,Mercedes,Mercedes,78,1:43:28.437,Lewis Hamilton,2019
Canada,09 Jun 2019,Lewis,Hamilton,HAM,Mercedes,Mercedes,70,1:29:07.084,Lewis Hamilton,2019
France,23 Jun 2019,Lewis,Hamilton,HAM,Mercedes,Mercedes,53,1:24:31.198,Lewis Hamilton,2019
Austria,30 Jun 2019,Max,Verstappen,VER,Red Bull Racing Honda,Red Bull Racing,71,1:22:01.822,Max Verstappen,2019
Great Britain,14 Jul 2019,Lewis,Hamilton,HAM,Mercedes,Mercedes,52,1:21:08.452,Lewis Hamilton,2019
Germany,28 Jul 2019,Max,Verstappen,VER,Red Bull Racing Honda,Red Bull Racing,64,1:44:31.275,Max Verstappen,2019
Hungary,04 Aug 2019,Lewis,Hamilton,HAM,Mercedes,Mercedes,70,1:35:03.796,Lewis Hamilton,2019
Belgium,01 Sep 2019,Charles,Leclerc,LEC,Ferrari,Ferrari,44,1:23:45.710,Charles Leclerc,2019
Italy,08 Sep 2019,Charles,Leclerc,LEC,Ferrari,Ferrari,53,1:15:26.665,Charles Leclerc,2019
Singapore,22 Sep 2019,Sebastian,Vettel,VET,Ferrari,Ferrari,61,1:58:33.667,Sebastian Vettel,2019
Russia,29 Sep 2019,Lewis,Hamilton,HAM,Mercedes,Mercedes,53,1:33:38.992,Lewis Hamilton,2019
Japan,13 Oct 2019,Valtteri,Bottas,BOT,Mercedes,Mercedes,52,1:21:46.755,Valtteri Bottas,2019
Mexico,27 Oct 2019,Lewis,Hamilton,HAM,Mercedes,Mercedes,71,1:36:48.904,Lewis Hamilton,2019
United States,03 Nov 2019,Valtteri,Bottas,BOT,Mercedes,Mercedes,56,1:33:55.653,Valtteri Bottas,2019
Brazil,17 Nov 2019,Max,Verstappen,VER,Red Bull Racing Honda,Red Bull Racing,71,1:33:14.678,Max Verstappen,2019
Abu Dhabi,01 Dec 2019,Lewis,Hamilton,HAM,Mercedes,Mercedes,55,1:34:05.715,Lewis Hamilton,2019
