Grand Prix,Date,Winner First Name,Winner Last Name,Winner Short Name,Car,Team,Laps,Time,Winner,Year
San Marino,02 May 1999,Michael,Schumacher,MSC,Ferrari,Ferrari,62,1:33:44.792,Michael Schumacher,1999
Monaco,16 May 1999,Michael,Schumacher,MSC,Ferrari,Ferrari,78,1:49:31.812,Michael Schumacher,1999
Spain,30 May 1999,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,65,1:34:13.665,Mika Hakkinen,1999
Canada,13 Jun 1999,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,69,1:41:35.727,Mika Hakkinen,1999
France,27 Jun 1999,Heinz-Harald,Frentzen,FRE,Jordan Mugen Honda,Jordan,72,1:58:24.343,Heinz-Harald Frentzen,1999
Great Britain,11 Jul 1999,David,Coulthard,COU,McLaren Mercedes,McLaren,60,1:32:30.144,David Coulthard,1999
Austria,25 Jul 1999,Eddie,Irvine,IRV,Ferrari,Ferrari,71,1:28:12.438,Eddie Irvine,1999
Germany,01 Aug 1999,Eddie,Irvine,IRV,Ferrari,Ferrari,45,1:21:58.594,Eddie Irvine,1999
Hungary,15 Aug 1999,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,77,1:46:23.536,Mika Hakkinen,1999
Belgium,29 Aug 1999,David,Coulthard,COU,McLaren Mercedes,McLaren,44,1:25:43.057,David Coulthard,1999
Italy,12 Sep 1999,Heinz-Harald,Frentzen,FRE,Jordan Mugen Honda,Jordan,53,1:17:02.923,Heinz-Harald Frentzen,1999
Europe,26 Sep 1999,Johnny,Herbert,HER,Stewart Ford,Stewart,66,1:41:54.314,Johnny Herbert,1999
Malaysia,17 Oct 1999,Eddie,Irvine,IRV,Ferrari,Ferrari,56,1:36:38.494,Eddie Irvine,1999
Japan,31 Oct 1999,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,53,1:31:18.785,Mika Hakkinen,1999
Australia,12 Mar 2000,Michael,Schumacher,MSC,Ferrari,Ferrari,58,1:34:01.987,Michael Schumacher,2000
Brazil,26 Mar 2000,Michael,Schumacher,MSC,Ferrari,Ferrari,71,1:31:35.271,Michael Schumacher,2000
San Marino,09 Apr 2000,Michael,Schumacher,MSC,Ferrari,Ferrari,62,1:31:39.776,Michael Schumacher,2000
Great Britain,23 Apr 2000,David,Coulthard,COU,McLaren Mercedes,McLaren,60,1:28:50.108,David Coulthard,2000
Spain,07 May 2000,Mika,Hakkinen,HAK,McLaren Mercedes,McLaren,65,1:33:55.390,Mika Hakkinen,2000
Europe,21 May 2000,Michael,Schumacher,MSC,Ferrari,Ferrari,67,1:42:00.307,Michael Schumacher,2000
Monaco,04 Jun 2000,David,Coulthard,COU,McLaren Mercedes,McLaren,78,1:49:28.213,David Coulthard,2000
Canada,18 Jun 2000,Michael,Schumacher,MSC,Ferrari,Ferrari,69,1:41:12.313,Michael Schumacher,2000
